Feature,Importance
dark_ratio,0.015027366
l_mean,0.010145741
v_mean,0.0055723134
resnet_153,0.0055643274
yolo_255,0.004428984
resnet_415,0.0043550436
resnet_210,0.004087908
resnet_147,0.0040577734
resnet_273,0.003919335
resnet_247,0.0037830896
yolo_73,0.0036554416
median_gray,0.003523118
yolo_110,0.003506375
yolo_215,0.0034524428
resnet_293,0.0034379836
resnet_95,0.0031027985
resnet_166,0.0030205252
resnet_278,0.002983844
yolo_70,0.0029758732
yolo_196,0.0029586172
yolo_42,0.0029301508
resnet_86,0.0029199645
resnet_118,0.002887166
resnet_413,0.0028840692
resnet_263,0.0028235195
resnet_199,0.0028204676
resnet_90,0.0028116894
yolo_234,0.0028007824
yolo_228,0.0027821606
resnet_362,0.0027816612
yolo_252,0.0027656753
resnet_477,0.0027600457
edge_density,0.002718197
resnet_207,0.0027072497
resnet_424,0.002706716
yolo_253,0.0027038576
yolo_125,0.0026556724
yolo_104,0.0026405784
yolo_254,0.002582844
resnet_162,0.002581995
resnet_159,0.002580051
yolo_171,0.0025694594
resnet_270,0.0025629075
resnet_22,0.0025254472
resnet_88,0.0025186164
resnet_225,0.0025130701
resnet_184,0.0024918222
resnet_433,0.0024875754
resnet_458,0.002487046
resnet_60,0.0024846063
resnet_105,0.0024568764
resnet_375,0.0024396249
yolo_117,0.0024389443
resnet_66,0.002438274
resnet_156,0.0024327314
resnet_320,0.0024241027
resnet_175,0.0024144289
yolo_176,0.002392324
resnet_212,0.0023878068
resnet_386,0.0023783254
yolo_32,0.0023372145
resnet_388,0.0023306652
resnet_145,0.0023211646
resnet_110,0.002318906
yolo_19,0.0022979598
resnet_54,0.0022803298
yolo_21,0.0022692168
yolo_25,0.0022374939
resnet_319,0.0022368976
resnet_453,0.0022221152
resnet_76,0.002193131
resnet_246,0.0021924595
resnet_290,0.0021897226
yolo_37,0.0021817929
resnet_344,0.0021783903
yolo_223,0.0021686782
yolo_66,0.0021680025
resnet_209,0.0021574567
resnet_133,0.002150244
resnet_301,0.0021440734
resnet_440,0.0021374777
yolo_154,0.0021322498
resnet_101,0.0021269983
resnet_291,0.0021263512
yolo_109,0.0021207898
yolo_3,0.0021131914
yolo_91,0.0021112175
resnet_144,0.002106274
resnet_500,0.002099801
resnet_310,0.002085372
resnet_341,0.002083734
resnet_374,0.0020820715
yolo_33,0.0020674528
yolo_77,0.0020670441
resnet_33,0.0020540447
yolo_17,0.002031227
resnet_16,0.0020191842
resnet_289,0.0020147655
resnet_405,0.0020108623
resnet_262,0.0019928785
resnet_351,0.001989541
yolo_48,0.0019850896
yolo_222,0.0019813334
resnet_197,0.0019794845
resnet_400,0.0019707736
yolo_140,0.0019694439
resnet_468,0.0019626815
yolo_119,0.001954875
resnet_334,0.0019434768
yolo_5,0.0019271625
resnet_380,0.0019176666
yolo_51,0.0019161262
resnet_470,0.0019059454
resnet_220,0.0018976905
resnet_47,0.0018956357
yolo_113,0.0018904243
yolo_177,0.0018822431
resnet_100,0.00187198
yolo_235,0.0018681642
resnet_170,0.0018637262
resnet_316,0.0018575271
resnet_97,0.0018546787
resnet_506,0.001835759
resnet_120,0.0018316987
resnet_174,0.0018272527
resnet_49,0.0018207935
yolo_153,0.0018155503
resnet_371,0.0018116035
yolo_135,0.0018053668
yolo_74,0.0018049509
resnet_421,0.0017990563
resnet_426,0.0017990171
mean_gray,0.0017956778
yolo_232,0.0017948073
resnet_235,0.0017894951
resnet_360,0.001788967
resnet_258,0.0017883009
yolo_11,0.0017839073
resnet_257,0.0017825712
yolo_8,0.0017787747
resnet_429,0.0017736278
resnet_305,0.001771856
yolo_38,0.0017614496
yolo_236,0.0017587143
resnet_87,0.0017537354
yolo_127,0.0017503481
yolo_248,0.0017450242
resnet_244,0.0017429048
resnet_79,0.0017384029
resnet_509,0.0017306273
yolo_167,0.0017213327
resnet_191,0.0017199315
resnet_486,0.001718972
resnet_179,0.001710976
resnet_98,0.0017089122
resnet_229,0.0017051816
yolo_204,0.0016951635
yolo_97,0.0016933343
resnet_82,0.0016910351
yolo_208,0.0016907118
yolo_207,0.0016894753
resnet_274,0.001686585
resnet_444,0.0016806917
yolo_114,0.001679572
resnet_123,0.0016738584
resnet_231,0.0016734725
resnet_204,0.0016720915
yolo_124,0.0016673194
yolo_47,0.001666245
resnet_200,0.0016635945
resnet_300,0.0016634027
yolo_197,0.0016633533
yolo_244,0.001662401
resnet_233,0.0016606558
resnet_474,0.0016594585
resnet_55,0.0016567209
resnet_70,0.0016560943
yolo_214,0.0016517384
resnet_261,0.0016491492
resnet_354,0.0016469928
resnet_12,0.0016460298
yolo_187,0.0016432909
resnet_186,0.0016355118
resnet_485,0.0016350267
resnet_384,0.0016286824
resnet_359,0.0016201307
resnet_277,0.0016183765
resnet_463,0.0016170703
resnet_135,0.0016164716
resnet_182,0.0016135502
yolo_13,0.0016100996
yolo_94,0.0016086113
resnet_26,0.0015932816
resnet_148,0.0015886495
min_gray,0.0015881242
resnet_239,0.0015838904
resnet_53,0.0015820084
v_std,0.0015752942
resnet_337,0.0015705134
resnet_48,0.0015693845
resnet_329,0.0015665618
yolo_218,0.0015552928
resnet_164,0.0015464114
resnet_243,0.0015419495
resnet_13,0.0015364885
resnet_67,0.001535461
resnet_160,0.0015333996
resnet_158,0.001533026
yolo_179,0.0015311709
yolo_86,0.0015291246
resnet_507,0.00152777
yolo_41,0.0015277471
resnet_326,0.0015273888
yolo_178,0.0015253028
resnet_126,0.0015234316
resnet_59,0.0015211827
resnet_323,0.0015193828
resnet_313,0.0015185153
resnet_193,0.0015152352
yolo_39,0.0015129118
yolo_219,0.0015093538
yolo_139,0.0015068286
resnet_399,0.0015017008
resnet_398,0.0015010412
resnet_448,0.0014988005
resnet_245,0.0014958377
resnet_461,0.0014952504
resnet_372,0.0014939272
yolo_180,0.0014925892
resnet_492,0.0014903442
resnet_364,0.001489433
resnet_208,0.0014882708
std_gray,0.001487744
resnet_130,0.0014872389
yolo_52,0.0014850966
resnet_142,0.0014828084
resnet_478,0.0014815286
resnet_57,0.0014786163
resnet_295,0.0014765692
resnet_40,0.0014756048
resnet_61,0.0014755975
resnet_256,0.0014733496
resnet_168,0.0014680995
resnet_6,0.0014677861
resnet_442,0.0014653441
yolo_231,0.0014648095
resnet_21,0.0014522442
resnet_52,0.0014388001
resnet_495,0.0014385158
resnet_171,0.001438453
resnet_357,0.0014375095
resnet_4,0.0014356538
resnet_219,0.0014300421
resnet_134,0.0014298138
resnet_41,0.0014239189
resnet_78,0.0014211008
yolo_107,0.0014203225
yolo_138,0.0014185429
yolo_249,0.001415762
yolo_188,0.0014139498
resnet_176,0.001412526
resnet_111,0.0014123623
resnet_109,0.0014115638
resnet_211,0.0014052249
yolo_106,0.0013970019
resnet_44,0.0013961158
yolo_92,0.0013951559
yolo_2,0.0013911378
resnet_69,0.0013882486
yolo_101,0.0013882375
resnet_496,0.0013874009
resnet_487,0.0013865476
resnet_352,0.0013812118
yolo_20,0.0013811473
resnet_253,0.0013775903
resnet_154,0.0013734085
yolo_148,0.0013656183
